惊悚乐园	Kinh hãi thiên đường
欺负仇人的女儿难道有错吗	Khi dễ con gái cừu nhân chẳng lẽ có sai à
饲养全人类	Chăn nuôi toàn nhân loại
时空旅行者的探险队	Thời không người lữ hành đội thám hiểm
时光之心	Thời quang chi tâm
辐射的秘密	Bí mật của bức xạ
美食猎人	Mỹ thực thợ săn
黛西在漫威世界	Daisy tại Marvel thế giới
骑士的战争	Kỵ sĩ chiến tranh
骑士的沙丘	Kỵ sĩ cồn cát
灾厄降临	Tai ách buông xuống
偶像之道	Thần tượng chi đạo
我就是能进球	Ta liền có thể ghi bàn
原始再来	Nguyên thủy lại đến
异体——我的绯色天空	Dị thể —— Sắc trời đỏ ửng của ta
当废宅得到系统	Đương phế trạch đạt được hệ thống
我在东京当和尚	Ta tại Tokyo đương hòa thượng
女配不掺和（快穿）	Nữ phối bất sam hòa (khoái xuyên)
巴顿奇幻事件录	Baton kỳ ảo sự kiện lục
来自东方的骑士	Kỵ sĩ đến từ phương đông
怪物被杀就会死	Quái vật bị giết liền sẽ chết
末世公寓	Mạt thế nhà trọ
火影之最强	NARUTO chi mạnh nhất
我是阿斗，我不用人扶	Ta là A Đấu, ta không cần người vịn
狩猎好莱坞	Săn bắn Hollywood
罗罗娜的异世之旅	Rorona dị giới hành trình
随身带着淘宝去异界	Tùy thân mang theo đào bảo đi dị giới
娜迦神族	Naga thần tộc
我被丧尸咬了	Ta bị tang thi cắn rồi
武林画卷	Võ lâm họa quyển
帝国再临	Đế quốc lại tới
穿越方式崩坏的鲁路修	Xuyên qua phương thức sụp đổ Lelouch
综全民进化计划	Tổng toàn dân tiến hóa kế hoạch
重回80当大佬	Trở lại 80 đương đại lão
来自深渊的Ta	'Tha' đến từ vực sâu
狩魔领主	Thú ma lĩnh chủ
赌徒	Tay cờ bạc
我是仙凡	Ta là tiên phàm
香火成神道	Hương hỏa thành thần đạo
路人的视角	Người qua đường thị giác
火影之活久见	NARUTO chi Hoạt cửu kiến
网游之倒行逆施	Võng du chi Làm điều ngang ngược
玩家超正义	Người chơi siêu chính nghĩa
体坛多面手	Giới thể thao đa tài
我的26岁女房客	Nữ khách trọ 26 tuổi của ta
艳遇谅解备忘录	Diễm ngộ lượng giải bản ghi nhớ
游戏狂想曲	Trò chơi cuồng tưởng khúc
我居然上直播了	Ta rõ ràng lên phát trực tiếp rồi
天国的水晶宫	Thiên quốc Thủy Tinh Cung
我是幕后大佬	Ta là phía sau màn đại lão
我真没想重生啊	Ta thật không muốn sống lại ah
小仙有毒	Tiểu tiên có độc
这个梦我喜欢！	Cái này mộng ta ưa thích!
术士的星空	Trời sao của Thuật sĩ
骨傲天不需要妹妹	Cốt Ngạo Thiên không cần thiết muội muội
颤栗世界	Run rẩy thế giới
王老实的幸福生活	Cuộc sống hạnh phúc của Vương Lão Thực
很纯很暧昧	Rất thuần rất mập mờ
开发次元世界	Khai phá thứ nguyên thế giới
星际游轮	Liên sao du thuyền
HP哈利波特与理性之道	HP Harry Potter cùng Lý tính chi đạo
狩猎大清	Săn bắn Đại Thanh
大宋金手指	Đại Tống ngón tay vàng
地精传奇	Gnome truyền kỳ
数字王国	Vương quốc số liệu
读档九八	Reload 98
韩娱之秘密讯息	Kbiz chi bí mật tin tức
我的身体有bug	Thân thể của ta có bug
哥布林屠夫	Goblin đồ tể
不可名状的赛博朋克	Không thể diễn tả Cyberpunk
法爷永远是你大爷	Pháp gia vĩnh viễn là ngươi đại gia
我的男友是先知	Bạn trai của ta là tiên tri
真实的克苏鲁跑团游戏	Chân thật Cthulhu chạy đoàn trò chơi
拯救大唐MM	Cứu vớt Đại Đường MM
从零开始的神奇宝贝	Bắt đầu từ không thần kỳ bảo bối
老衲要还俗	Lão nạp muốn hoàn tục
美国牧场的小生活	Nước Mỹ bãi chăn nuôi tiểu sinh hoạt
关于黑科技的二三事	Về khoa học đen dăm ba chuyện
屠狗	Giết chó
篮球皇帝	Bóng rổ hoàng đế
一剑斩破九重天	Một kiếm trảm phá chín tầng trời
捡宝王	Vua lượm bảo
嬉皮笑脸	Cười đùa tí tửng
异世之炼魔术士	Dị giới chi luyện ma thuật sĩ
漫威世界新万磁王	Marvel thế giới tân Magento
时空传送1935	Thời không truyền tống 1935
[美娱]肖恩的奋斗	[Mỹ Ngu] Shaun phấn đấu
自闭少年补完计划	Tự bế thiếu niên bổ hoàn kế hoạch
同桌凶猛	Cùng bàn hung mãnh
红星兔的末日复兴日记	Hồng tinh thỏ tận thế phục hưng nhật ký
白金农民麻烦哥	Bạch kim nông dân phiền toái ca
毁灭游戏	Hủy diệt trò chơi
超级玩家	Siêu cấp người chơi
黛拉·布什的恋爱故事	Chuyện tình yêu của Della Bush
请回答火影	Mời trả lời NARUTO
穿越方式黑化的动漫女主	Xuyên qua phương thức hắc hóa hoạt hình nữ chủ
埃提亚	Etia
帝国的黎明	Đế quốc bình minh
无限进化	Vô hạn tiến hóa
仙路何方	Tiên lộ phương nào
吾名雷恩	Ngô tên Ryan
我有四个巨星前任	Ta có bốn cái siêu sao tiền nhiệm
未来图书馆	Tương lai thư viện
吞噬的虚空	Hư không thôn phệ
予懦弱者以铁之心	Dư kẻ nhu nhược dùng sắt chi tâm
砂隐之最强技师	Làng Cát chi tối cường kỹ sư
只因暮色难寻	Chỉ vì hoàng hôn khó tìm
我是大反派[快穿]	Ta là đại phản phái [khoái xuyên]
绝鼎	Tuyệt Đỉnh (QQ)
鬼喊抓鬼	Quỷ hô bắt quỷ
变成幽灵了如何是好	Biến thành âm hồn rồi thế nào cho phải
我的征途是星辰大海	Hành trình của ta là trời sao biển lớn
沙耶之歌	Saya no Uta
她从何方来	Nàng đến từ phương nào
活在霍格沃茨	Sống tại Hogwarts
重生之我变成了小蝌蚪	Trùng sinh chi Ta đã biến thành con nòng nọc
我的充气娃娃会说话	Búp bê thổi khí của ta biết nói chuyện
开挂	Mở hack
满级账号在异界	Tài khoản mãn cấp tại dị giới
