惊悚乐园	Kinh hãi thiên đường
巴顿奇幻事件录	Ghi chép chuyện kỳ ảo Baton
来自东方的骑士	Kỵ sĩ đến từ phương đông
怪物被杀就会死	Quái vật bị giết liền sẽ chết
末世公寓	Nhà trọ Mạt thế
火影之最强	Mạnh nhất NARUTO
我是阿斗，我不用人扶	Ta là A Đấu, ta không cần người vịn
狩猎好莱坞	Săn bắn Hollywood
罗罗娜的异世之旅	Hành trình thế giới khác của Rorona
随身带着淘宝去异界	Tuỳ thân mang theo Taobao đi dị giới
娜迦神族	Thần tộc Naga
我被丧尸咬了	Ta bị zombie cắn rồi
武林画卷	Bức tranh võ lâm
帝国再临	Đế quốc lại tới
穿越方式崩坏的鲁路修	Lelouch xuyên qua phương thức sụp đổ
综全民进化计划	Kế hoạch tiến hoá tổng toàn dân
重回80当大佬	Trở lại 80 làm đại lão
来自深渊的Ta	'It' đến từ vực sâu
狩魔领主	Lãnh chúa thú ma
赌徒	Tay cờ bạc
我是仙凡	Ta là tiên phàm
香火成神道	Hương hoả thành thần đạo
路人的视角	Thị giác của người qua đường
火影之活久见	NARUTO: Hoạt cửu kiến
网游之倒行逆施	Game online: Làm điều ngang ngược
玩家超正义	Người chơi siêu chính nghĩa
体坛多面手	Đa tài giới thể thao
我的26岁女房客	Nữ khách trọ 26 tuổi của ta
艳遇谅解备忘录	Diễm ngộ lượng giải bản ghi nhớ
游戏狂想曲	Trò chơi cuồng tưởng khúc
我居然上直播了	Ta thế mà lên truyền hình trực tiếp rồi
天国的水晶宫	Thuỷ Tinh Cung của Thiên quốc
我是幕后大佬	Ta là đại lão phía sau màn
我真没想重生啊	Ta thật không muốn sống lại mà
小仙有毒	Tiểu tiên có độc
这个梦我喜欢！	Giấc mộng này ta ưa thích!
术士的星空	Trời sao của Thuật sĩ
骨傲天不需要妹妹	Cốt Ngạo Thiên không cần thiết em gái
颤栗世界	Run rẩy thế giới
王老实的幸福生活	Cuộc sống hạnh phúc của Vương Lão Thực
很纯很暧昧	Rất thuần rất mập mờ
开发次元世界	Khai phá thế giới thứ nguyên
星际游轮	Du thuyền liên sao
HP哈利波特与理性之道	HP Harry Potter và Đạo lý tính
狩猎大清	Săn bắn Đại Thanh
大宋金手指	Ngón tay vàng Đại Tống
地精传奇	Truyền kỳ Gnome
数字王国	Vương quốc digital
读档九八	Đọc lưu trữ 98
韩娱之秘密讯息	Kbiz: Tin tức bí mật
我的身体有bug	Thân thể của ta có bug
哥布林屠夫	Đồ tể Goblin
不可名状的赛博朋克	Cyberpunk không thể diễn tả
法爷永远是你大爷	Pháp gia vĩnh viễn là ông nội ngươi
我的男友是先知	Bạn trai của ta là tiên tri
真实的克苏鲁跑团游戏	Trò chơi chạy đoàng Cthulhu chân thật
拯救大唐MM	Cứu vớt MM Đại Đường
从零开始的神奇宝贝	Bắt đầu từ không: Thần kỳ bảo bối
老衲要还俗	Lão nạp muốn hoàn tục
美国牧场的小生活	Sinh hoạt nhỏ của bãi chăn nuôi nước Mỹ
关于黑科技的二三事	Dăm ba chuyện về khoa học đen
屠狗	Giết chó
篮球皇帝	Hoàng đế bóng rổ
一剑斩破九重天	Một kiếm chém phá chín tầng trời
捡宝王	Vua lượm bảo
嬉皮笑脸	Cười đùa tí tửng
异世之炼魔术士	Dị giới: Luyện ma thuật sĩ
漫威世界新万磁王	Thế giới Marvel tân Magento
时空传送1935	Thời không truyền tống 1935
[美娱]肖恩的奋斗	[Giải trí Mỹ] Sự phấn đấu của Shaun
自闭少年补完计划	Kế hoạch bổ hoàn thiếu niên tự bế
同桌凶猛	Cùng bàn hung mãnh
毁灭游戏	Huỷ diệt trò chơi
超级玩家	Người chơi siêu cấp
黛拉·布什的恋爱故事	Chuyện tình yêu của Della Bush
请回答火影	Mời trả lời NARUTO
埃提亚	Etia
帝国的黎明	Bình minh của đế quốc
无限进化	Vô hạn tiến hoá
仙路何方	Đường tiên phương nào
吾名雷恩	Ngô tên Ryan
我有四个巨星前任	Ta có bốn tiền nhiệm siêu sao
未来图书馆	Thư viện tương lai
吞噬的虚空	Thôn phệ của hư không
予懦弱者以铁之心	Dư kẻ nhu nhược dùng trái tim sắt
砂隐之最强技师	Làng Cát: Kỹ sư mạnh nhất
只因暮色难寻	Chỉ vì hoàng hôn khó tìm
我是大反派[快穿]	Ta là đại phản phái [xuyên nhanh]
绝鼎	Tuyệt Đỉnh
鬼喊抓鬼	Quỷ hô bắt quỷ
变成幽灵了如何是好	Biến thành âm hồn rồi thế nào cho phải
我的征途是星辰大海	Hành trình của ta là trời sao biển lớn
沙耶之歌	Saya no Uta
她从何方来	Nàng đến từ phương nào
活在霍格沃茨	Sống tại Hogwarts
重生之我变成了小蝌蚪	Trùng sinh: Ta đã biến thành con nòng nọc
我的充气娃娃会说话	Búp bê thổi khí của ta biết nói chuyện
开挂	Mở hack
满级账号在异界	Tài khoản mãn cấp ở dị giới
大隐	Đại ẩn
武林半侠传	Võ Lâm Bán Hiệp Truyện
崛起之第三帝国	Quật Khởi: Đế Quốc
旧日之箓	Cựu Nhật Chi Lục
宰执天下	Tể Chấp Thiên Hạ
你好,1983	Xin chào, 1983
一世之尊	Nhất Thế Chi Tôn
琥珀之剑	Thanh kiếm Hổ Phách
间客	Gian khách
晚明	Vãn Minh
将夜	Tương Dạ
庆余年	Khánh Dư Niên
问镜	Vấn Kính
诛仙	Tru Tiên
罪恶之城	Toà thành Tội ác
许仙志	Hứa Tiên Chí
雪中悍刀行	Tuyết Trung Hãn Đao Hành
斗破苍穹	Đấu Phá Thương Khung
无限道武者路	Vô Hạn Đạo Võ Giả Lộ
紫川	Tử Xuyên
海贼法典	Hải Tặc Pháp Điển
奋斗在新明朝	Phấn đấu tại triều Minh mới
顾道长生	Cố Đạo Trường Sinh
人道天堂	Nhân Đạo Thiên Đường
谍影风云	Điệp Ảnh Phong Vân
大医凌然	Đại Y Lăng Nhiên
龙蛇演义	Long Xà Diễn Nghĩa
狩魔手记	Sổ tay săn ma
大圣传	Đại Thánh Truyện
问道红尘	Vấn Đạo Hồng Trần
历史粉碎机	Máy xay Lịch Sử
遮天	Che trời
黎明之剑	Thanh kiếm Lê Minh
易鼎	Dịch Đỉnh
仙葫	Tiên Hồ
战略级天使	Thiên sứ cấp chiến lược
战国野心家	Chiến Quốc Dã Tâm Gia
大明春色	Đại Minh Xuân Sắc
仙路烟尘	Tiên Lộ Yên Trần
全音阶狂潮	Toàn Âm Giai Cuồng Triều
主神调查员	Chủ Thần Điều Tra Viên
明日之劫	Minh Nhật Chi Kiếp
十国千娇	Thập Quốc Thiên Kiều
新宋	Tân Tống
恶魔法则	Ác Ma Pháp Tắc
唐砖	Đường Chuyên
冰之无限	Băng Chi Vô Hạn
阳神	Dương Thần
死人经	Tử Nhân Kinh
十州风云志	Thập Châu Phong Vân Chí
雅骚	Nhã Tao
剑徒之路	Kiếm Đồ Chi Lộ
黎明医生	Thầy thuốc Sáng sớm
太浩	Thái Hạo
十景缎	Thập Cảnh Đoạn
逃亡犯报告	Đào Vong Phạm Báo Cáo
独游	Độc Du
十方武圣	Thập Phương Võ Thánh
农家子的古代科举生活	Sinh hoạt khoa cử cổ đại Của kẻ làm nông
网游之近战法师	Game Online: Cận Chiến Pháp Sư
大明官	Đại Minh Quan
陌上行	Mạch Thượng Hành
重生之贼行天下	Trùng Sinh: Tặc Hành Thiên Hạ
大唐双龙之重生边不负	Đại Đường Song Long: Trùng sinh Biên Bất Phụ
草清	Thảo Thanh
道门法则	Đạo Môn Pháp Tắc
清客	Thanh Khách
风起紫罗峡	Phong Khởi Tử La Hạp
玄浑道章	Huyền Hồn Đạo Chương
大画家	Đại Hoạ Gia
韩警官	Hàn Cảnh Quan
黑龙法典	Hắc Long Pháp Điển
FATE根源之棒	FATE Căn Nguyên Chi Bổng
大宇宙时代	Thời đại Đại vũ trụ
大明文魁	Đại Minh Văn Khôi
宅之崛起	Trạch Chi Quật Khởi
蜀山剑侠传	Thục Sơn Kiếm Hiệp Truyện
超维术士	Siêu Duy Thuật Sĩ
问题妹妹恋上我	Em gái hư yêu ta
五行天	Ngũ Hành Thiên
纣临	Trụ Lâm
官道之色戒	Quan Đạo: Sắc Giới
守望黎明号	Canh Gác thuyền Sáng Sớm
诸天尽头	Chư Thiên Tận Đầu
英雄志	Anh Hùng Chí
升邪	Thăng Tà
道果	Đạo Quả
青玄道主	Thanh Huyền Đạo Chủ
